Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2022,32,,NZ Dollars (millions),3 and 12,7.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2023,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2024,49,,NZ Dollars (millions),3 and 12,10.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2025,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2016,5,,NZ Dollars (millions),3 and 12,58.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2018,26,,NZ Dollars (millions),3 and 12,149.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2020,21,,NZ Dollars (millions),12,21.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2022,17,,NZ Dollars (millions),12,59.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2023,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2024,48,,NZ Dollars (millions),12,108.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2025,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2016,96,,NZ Dollars (millions),12,23.8
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2018,98,,NZ Dollars (millions),12,49.8
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2019,98,,NZ Dollars (millions),12,30.2
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2020,101,,NZ Dollars (millions),12,29.7
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2021,91,,NZ Dollars (millions),12,26
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2022,89,,NZ Dollars (millions),12,42.8
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2023,139,,NZ Dollars (millions),12,40.8
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2024,204,,NZ Dollars (millions),12,33.7
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2025,197,,NZ Dollars (millions),12,30.7
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2016,671,,NZ Dollars (millions),12,8.4
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2018,673,,NZ Dollars (millions),12,10
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2019,780,,NZ Dollars (millions),12,8.6
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2020,846,,NZ Dollars (millions),12,7.9
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2021,774,,NZ Dollars (millions),12,7.5
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2022,875,,NZ Dollars (millions),12,5.8
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2023,1043,R,NZ Dollars (millions),12,5.8
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2024,1224,R,NZ Dollars (millions),12,15.7
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2025,1159,,NZ Dollars (millions),12,7.4
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2016,835,,NZ Dollars (millions),12,9.5
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2018,1362,,NZ Dollars (millions),12,17.8
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2019,1549,,NZ Dollars (millions),12,8.5
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2020,1784,,NZ Dollars (millions),12,8.2
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2021,2002,,NZ Dollars (millions),12,6.7
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2022,2218,,NZ Dollars (millions),12,7.5
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2023,2508,R,NZ Dollars (millions),12,9
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2024,2645,R,NZ Dollars (millions),12,8.9
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2025,2732,,NZ Dollars (millions),12,7.3
_01_Total_RD_Expenditure,Industry,04_Government Industry Group,2016,658,,NZ Dollars (millions),3 and 12,3.6
_01_Total_RD_Expenditure,Industry,04_Government Industry Group,2018,828,,NZ Dollars (millions),3 and 12,8
